order_city,order_state,order_zipcode,order_region,order_country,market,location_id
São Paulo,São Paulo,,South America,Brazil,Latin America,61
Montevideo,Montevideo,,South America,Uruguay,Latin America,62
Buenos Aires,Buenos Aires,,South America,Argentina,Latin America,63
Barueri,São Paulo,,South America,Brazil,Latin America,64
Arapongas,Paraná,,South America,Brazil,Latin America,65
Camagüey,Camagüey,,Caribbean,Cuba,Latin America,66
Las Tunas,Las Tunas,,Caribbean,Cuba,Latin America,67
Tepic,Nayarit,,Central America,Mexico,Latin America,68
San Miguelito,Panamá,,Central America,Panama,Latin America,69
Ixtapaluca,México,,Central America,Mexico,Latin America,70
Maceió,Alagoas,,South America,Brazil,Latin America,71
Belo Horizonte,Minas Gerais,,South America,Brazil,Latin America,72
Santiago de Cuba,Santiago de Cuba,,Caribbean,Cuba,Latin America,73
San Pedro Sula,Cortés,,Central America,Honduras,Latin America,74
Lima,Lima (ciudad),,South America,Peru,Latin America,75
Holguín,Holguín,,Caribbean,Cuba,Latin America,76
Orizaba,Veracruz,,Central America,Mexico,Latin America,77
Managua,Managua,,Central America,Nicaragua,Latin America,78
Villahermosa,Tabasco,,Central America,Mexico,Latin America,79
Quixadá,Ceará,,South America,Brazil,Latin America,80
Mixco,Guatemala,,Central America,Guatemala,Latin America,81
Nueva Gerona,Isla de la Juventud,,Caribbean,Cuba,Latin America,82
Chimaltenango,Chimaltenango,,Central America,Guatemala,Latin America,83
Villa Nueva,Guatemala,,Central America,Guatemala,Latin America,84
Quito,Pichincha,,South America,Ecuador,Latin America,85
Valle de La Pascua,Guárico,,South America,Venezuela,Latin America,86
Cotia,São Paulo,,South America,Brazil,Latin America,87
Itapecuru Mirim,Marañón,,South America,Brazil,Latin America,88
León,León,,Central America,Nicaragua,Latin America,89
Tlalpan,Distrito Federal,,Central America,Mexico,Latin America,90
Apopa,San Salvador,,Central America,El Salvador,Latin America,91
Cipolletti,Río Negro,,South America,Argentina,Latin America,92
La Ceiba,Atlántida,,Central America,Honduras,Latin America,93
Córdoba,Veracruz,,Central America,Mexico,Latin America,94
Kuito,Bié,,Central Africa,Angola,Africa,95
Jartum,Jartum,,North Africa,Sudan,Africa,96
Hargeysa,Gobolka Woqooyi Galbeed,,East Africa,Somalia,Africa,97
Kenitra,Garb-Chrarda-Beni Hsen,,North Africa,Morocco,Africa,98
Abidjan,Lagunes,,West Africa,Ivory Coast,Africa,99
Abu Kabir,Ash Sharqiyah,,North Africa,Egypt,Africa,100
Perugia,Umbría,,Southern Europe,Italy,Europe,101
Nuremberg,Bavaria,,Western Europe,Germany,Europe,102
Reims,Alsacia-Champaña-Ardenas-Lorena,,Western Europe,France,Europe,103
Halle,Sajonia-Anhalt,,Western Europe,Germany,Europe,104
Bremerhaven,Bremen,,Western Europe,Germany,Europe,105
Portici,Campania,,Southern Europe,Italy,Europe,106
Bielefeld,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,107
London,Inglaterra,,Northern Europe,United Kingdom,Europe,108
Duisburg,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,109
Bradford,Inglaterra,,Northern Europe,United Kingdom,Europe,110
Agrigento,Sicilia,,Southern Europe,Italy,Europe,111
Oldham,Inglaterra,,Northern Europe,United Kingdom,Europe,112
Palermo,Sicilia,,Southern Europe,Italy,Europe,113
Madrid,Madrid,,Southern Europe,Spain,Europe,114
Nancy,Alsacia-Champaña-Ardenas-Lorena,,Western Europe,France,Europe,115
Girona,Cataluña,,Southern Europe,Spain,Europe,116
Laon,Norte-Paso de Calais-Picardía,,Western Europe,France,Europe,117
Hartlepool,Inglaterra,,Northern Europe,United Kingdom,Europe,118
Pontault-Combault,Isla de Francia,,Western Europe,France,Europe,119
La Rochelle,Aquitania-Lemosín-Poitou-Charentes,,Western Europe,France,Europe,120
Edinburgh,Escocia,,Northern Europe,United Kingdom,Europe,121
Acerra,Campania,,Southern Europe,Italy,Europe,122
Hanover,Baja Sajonia,,Western Europe,Germany,Europe,123
Manchester,Inglaterra,,Northern Europe,United Kingdom,Europe,124
Messina,Sicilia,,Southern Europe,Italy,Europe,125
Wilhelmshaven,Baja Sajonia,,Western Europe,Germany,Europe,126
Letchworth,Inglaterra,,Northern Europe,United Kingdom,Europe,127
Kilwinning,Escocia,,Northern Europe,United Kingdom,Europe,128
Villeneuve-le-Roi,Isla de Francia,,Western Europe,France,Europe,129
Barakaldo,País Vasco,,Southern Europe,Spain,Europe,130
Estocolmo,Estocolmo,,Northern Europe,Sweden,Europe,131
Aylesbury,Inglaterra,,Northern Europe,United Kingdom,Europe,132
Langenhagen,Baja Sajonia,,Western Europe,Germany,Europe,133
Birmingham,Inglaterra,,Northern Europe,United Kingdom,Europe,134
Amsterdam,Holanda Septentrional,,Western Europe,Netherlands,Europe,135
Viena,Viena,,Western Europe,Austria,Europe,136
Houston,Texas,77041,US Center,United States,North America,137
Gilbert,Arizona,85234,West of USA,United States,North America,138
San Jose,California,95123,West of USA,United States,North America,139
Fresno,California,93727,West of USA,United States,North America,140
Peoria,Arizona,85345,West of USA,United States,North America,141
Cincinnati,Ohio,45231,East of USA,United States,North America,142
Columbus,Indiana,47201,US Center,United States,North America,143
Ottawa,Ontario,,Canada,Canada,North America,144
Kitchener,Ontario,,Canada,Canada,North America,145
Philadelphia,Pensilvania,19134,East of USA,United States,North America,146
Des Plaines,Illinois,60016,US Center,United States,North America,147
Elmhurst,Illinois,60126,US Center,United States,North America,148
Antananarivo,Analamanga,,East Africa,Madagascar,Africa,149
Algiers,Alger,,North Africa,Algeria,Africa,150
Monrovia,Montserrado,,West Africa,Liberia,Africa,151
Gagnoa,Fromager,,West Africa,Ivory Coast,Africa,152
Livingstone,Meridional,,East Africa,Zambia,Africa,153
Fes,Fez-Bulmán,,North Africa,Morocco,Africa,154
Cairo,El Cairo,,North Africa,Egypt,Africa,155
Hurghada,Al Bahr al Ahmar,,North Africa,Egypt,Africa,156
Niamey,Niamey,,West Africa,Niger,Africa,157
Sale,Rabat-Salé-Zemur-Zaer,,North Africa,Morocco,Africa,158
Pretoria,Gauteng,,Southern Africa,South Africa,Africa,159
Marrakech,Marrakech-Tensift-Al Hauz,,North Africa,Morocco,Africa,160
Bur Sudan,Mar Rojo,,North Africa,Sudan,Africa,161
Lagos,Lagos,,West Africa,Nigeria,Africa,162
Quelimane,Zambezia,,East Africa,Mozambique,Africa,163
Port Elizabeth,Cabo Oriental,,Southern Africa,South Africa,Africa,164
Shinyanga,Shinyanga,,East Africa,Tanzania,Africa,165
Kismaayo,Jubbada Hoose,,East Africa,Somalia,Africa,166
Butare,Meridional,,East Africa,Rwanda,Africa,167
Newcastle,KwaZulu-Natal,,Southern Africa,South Africa,Africa,168
Jerusalén,Jerusalén,,West Asia,Israel,Pacific Asia,169
Gold Coast,Queensland,,Oceania,Australia,Pacific Asia,170
Newcastle,Nueva Gales del Sur,,Oceania,Australia,Pacific Asia,171
Porirua,Wellington,,Oceania,New Zealand,Pacific Asia,172
Mildura,Victoria,,Oceania,Australia,Pacific Asia,173
Daca,Daca,,South Asia,Bangladesh,Pacific Asia,174
Kanpur,Uttar Pradesh,,South Asia,India,Pacific Asia,175
Bangkok,Bangkok,,Southeast Asia,Thailand,Pacific Asia,176
Bagdad,Bagdad,,West Asia,Iraq,Pacific Asia,177
Adana,Adana,,West Asia,Turkey,Pacific Asia,178
Riyadh,Riad,,West Asia,Saudi Arabia,Pacific Asia,179
Shenzhen,Guangdong,,Eastern Asia,China,Pacific Asia,180
Tianjin,Tianjin,,Eastern Asia,China,Pacific Asia,181
Perth,Australia Occidental,,Oceania,Australia,Pacific Asia,182
Dunedin,Otago,,Oceania,New Zealand,Pacific Asia,183
Melbourne,Victoria,,Oceania,Australia,Pacific Asia,184
Ulhasnagar,Maharashtra,,South Asia,India,Pacific Asia,185
Manila,Capital Nacional,,Southeast Asia,Philippines,Pacific Asia,186
Mersin,Mersin,,West Asia,Turkey,Pacific Asia,187
Temirtau,Karagandá,,Central Asia,Kazakhstan,Pacific Asia,188
Tengzhou,Shandong,,Eastern Asia,China,Pacific Asia,189
Nantong,Jiangsu,,Eastern Asia,China,Pacific Asia,190
Dalian,Liaoning,,Eastern Asia,China,Pacific Asia,191
Lianyuan,Hunan,,Eastern Asia,China,Pacific Asia,192
Caloundra,Queensland,,Oceania,Australia,Pacific Asia,193
Bendigo,Victoria,,Oceania,Australia,Pacific Asia,194
Adelaide,Australia del Sur,,Oceania,Australia,Pacific Asia,195
Ajmer,Rajastán,,South Asia,India,Pacific Asia,196
Kerman,Kerman,,South Asia,Iran,Pacific Asia,197
Vadodara,Guyarat,,South Asia,India,Pacific Asia,198
Semarang,Java Central,,Southeast Asia,Indonesia,Pacific Asia,199
Cirebon,Java Occidental,,Southeast Asia,Indonesia,Pacific Asia,200
Rangún,Rangún,,Southeast Asia,Myanmar,Pacific Asia,201
Kütahya,Kütahya,,West Asia,Turkey,Pacific Asia,202
Namangán,Namangán,,Central Asia,Uzbekistan,Pacific Asia,203
Xinzhou,Hubei,,Eastern Asia,China,Pacific Asia,204
Mudanjiang,Heilongjiang,,Eastern Asia,China,Pacific Asia,205
Lokossa,Mono,,West Africa,Benin,Africa,206
Ikot Ekpene,Akwa Ibom,,West Africa,Nigeria,Africa,207
Warri,Delta,,West Africa,Nigeria,Africa,208
Bandundu,Bandundu,,Central Africa,Democratic Republic of the Congo,Africa,209
Foumban,Ouest,,Central Africa,Cameroon,Africa,210
Luanda,Luanda,,Central Africa,Angola,Africa,211
Maiduguri,Borno,,West Africa,Nigeria,Africa,212
Nairobi,Nairobi,,East Africa,Kenya,Africa,213
Kitwe,Copperbelt,,East Africa,Zambia,Africa,214
Nkongsamba,Littoral,,Central Africa,Cameroon,Africa,215
Mbuji-mayi,Kasai Oriental,,Central Africa,Democratic Republic of the Congo,Africa,216
Lome,Marítima,,West Africa,Togo,Africa,217
Mahajanga,Boeny,,East Africa,Madagascar,Africa,218
Kano,Kano,,West Africa,Nigeria,Africa,219
Annaba,Annaba,,North Africa,Algeria,Africa,220
Cotonou,Littoral,,West Africa,Benin,Africa,221
Dar es Salaam,Dar es Salaam,,East Africa,Tanzania,Africa,222
Cape Town,Cabo Occidental,,Southern Africa,South Africa,Africa,223
Montpellier,Languedoc-Rosellón-Mediodía-Pirineos,,Western Europe,France,Europe,224
Khmelnytskyi,Khmelnytskyi,,Eastern Europe,Ukraine,Europe,225
Vannes,Bretaña,,Western Europe,France,Europe,226
Fuenlabrada,Madrid,,Southern Europe,Spain,Europe,227
Villemomble,Isla de Francia,,Western Europe,France,Europe,228
Gien,Centro-Valle de Loira,,Western Europe,France,Europe,229
Neuilly-sur-Seine,Isla de Francia,,Western Europe,France,Europe,230
Viersen,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,231
Verona,Véneto,,Southern Europe,Italy,Europe,232
Fano,Marche,,Southern Europe,Italy,Europe,233
Gdynia,Pomerania,,Eastern Europe,Poland,Europe,234
Talavera de la Reina,Castilla-La Mancha,,Southern Europe,Spain,Europe,235
Montreuil,Isla de Francia,,Western Europe,France,Europe,236
Marseille,Provenza-Alpes-Costa Azul,,Western Europe,France,Europe,237
Lisbon,Lisboa,,Southern Europe,Portugal,Europe,238
Wolverhampton,Inglaterra,,Northern Europe,United Kingdom,Europe,239
Satu Mare,Satu Mare,,Eastern Europe,Romania,Europe,240
Guadalajara,Jalisco,,Central America,Mexico,Latin America,241
Cúcuta,Norte de Santander,,South America,Colombia,Latin America,242
Zacatecas,Zacatecas,,Central America,Mexico,Latin America,243
Chihuahua,Chihuahua,,Central America,Mexico,Latin America,244
Brasília,Distrito Federal,,South America,Brazil,Latin America,245
Santarém,Pará,,South America,Brazil,Latin America,246
Joinville,Santa Catarina,,South America,Brazil,Latin America,247
Monterrey,Nuevo León,,Central America,Mexico,Latin America,248
Pitalito,Huila,,South America,Colombia,Latin America,249
Querétaro,Querétaro,,Central America,Mexico,Latin America,250
Chaguanas,Chaguanas,,Caribbean,Trinidad and Tobago,Latin America,251
Hermosillo,Sonora,,Central America,Mexico,Latin America,252
Coacalco,México,,Central America,Mexico,Latin America,253
Balneário Camboriú,Santa Catarina,,South America,Brazil,Latin America,254
Maturín,Monagas,,South America,Venezuela,Latin America,255
Parintins,Amazonas,,South America,Brazil,Latin America,256
Huehuetenango,Huehuetenango,,Central America,Guatemala,Latin America,257
Chinautla,Guatemala,,Central America,Guatemala,Latin America,258
Sorocaba,São Paulo,,South America,Brazil,Latin America,259
San Justo,Santa Fe,,South America,Argentina,Latin America,260
Colombo,Paraná,,South America,Brazil,Latin America,261
Itu,São Paulo,,South America,Brazil,Latin America,262
Cuernavaca,Morelos,,Central America,Mexico,Latin America,263
Águas Lindas de Goiás,Goiás,,South America,Brazil,Latin America,264
Vespasiano,Minas Gerais,,South America,Brazil,Latin America,265
Bogotá,Bogotá,,South America,Colombia,Latin America,266
Bhilai,Chhattisgarh,,South Asia,India,Pacific Asia,267
Qingdao,Shandong,,Eastern Asia,China,Pacific Asia,268
Herat,Herat,,South Asia,Afghanistan,Pacific Asia,269
Sydney,Nueva Gales del Sur,,Oceania,Australia,Pacific Asia,270
Bandung,Java Occidental,,Southeast Asia,Indonesia,Pacific Asia,271
Tongchuan,Shaanxi,,Eastern Asia,China,Pacific Asia,272
Ujjain,Madhya Pradesh,,South Asia,India,Pacific Asia,273
Balikpapan,Kalimantan Oriental,,Southeast Asia,Indonesia,Pacific Asia,274
Pune,Maharashtra,,South Asia,India,Pacific Asia,275
Weifang,Shandong,,Eastern Asia,China,Pacific Asia,276
Yogyakarta,Yogyakarta,,Southeast Asia,Indonesia,Pacific Asia,277
Rockhampton,Queensland,,Oceania,Australia,Pacific Asia,278
Siping,Jilin,,Eastern Asia,China,Pacific Asia,279
Shanghái,Shanghái,,Eastern Asia,China,Pacific Asia,280
Depok,Yogyakarta,,Southeast Asia,Indonesia,Pacific Asia,281
Kawasaki,Kanagawa,,Eastern Asia,Japan,Pacific Asia,282
Lahore,Punyab,,South Asia,Pakistan,Pacific Asia,283
Malang,Java Oriental,,Southeast Asia,Indonesia,Pacific Asia,284
Ho Chi Minh City,Ciudad Ho Chi Minh,,Southeast Asia,Vietnam,Pacific Asia,285
Shenyang,Liaoning,,Eastern Asia,China,Pacific Asia,286
Daegu,Daegu,,Eastern Asia,South Korea,Pacific Asia,287
Rajkot,Guyarat,,South Asia,India,Pacific Asia,288
Gorakhpur,Haryana,,South Asia,India,Pacific Asia,289
Surabaya,Java Oriental,,Southeast Asia,Indonesia,Pacific Asia,290
Nagpur,Maharashtra,,South Asia,India,Pacific Asia,291
Nakhon Ratchasima,Nakhon Ratchasima,,Southeast Asia,Thailand,Pacific Asia,292
Kota Kinabalu,Sabah,,Southeast Asia,Malaysia,Pacific Asia,293
Jiutai,Jilin,,Eastern Asia,China,Pacific Asia,294
Shantou,Guangdong,,Eastern Asia,China,Pacific Asia,295
Cairns,Queensland,,Oceania,Australia,Pacific Asia,296
Jaipur,Rajastán,,South Asia,India,Pacific Asia,297
Raipur,Chhattisgarh,,South Asia,India,Pacific Asia,298
Loudi,Hunan,,Eastern Asia,China,Pacific Asia,299
Tipitapa,Managua,,Central America,Nicaragua,Latin America,300
Tabuk,Tabuk,,West Asia,Saudi Arabia,Pacific Asia,301
Manukau City,Auckland,,Oceania,New Zealand,Pacific Asia,302
Yakarta,Yakarta,,Southeast Asia,Indonesia,Pacific Asia,303
Tangerang,Java Occidental,,Southeast Asia,Indonesia,Pacific Asia,304
Aurangabad,Bihar,,South Asia,India,Pacific Asia,305
Seattle,Washington,98103,West of USA,United States,North America,306
Oakland,California,94601,West of USA,United States,North America,307
New York City,Nueva York,10009,East of USA,United States,North America,308
Monroe,Carolina del Norte,28110,South of  USA,United States,North America,309
Potchefstroom,Noroeste,,Southern Africa,South Africa,Africa,310
Wiesbaden,Hesse,,Western Europe,Germany,Europe,311
Munich,Bavaria,,Western Europe,Germany,Europe,312
Bobigny,Isla de Francia,,Western Europe,France,Europe,313
Lille,Norte-Paso de Calais-Picardía,,Western Europe,France,Europe,314
Giurgiu,Giurgiu,,Eastern Europe,Romania,Europe,315
Tamworth,Inglaterra,,Northern Europe,United Kingdom,Europe,316
Lviv,Lviv,,Eastern Europe,Ukraine,Europe,317
Hidalgo,Michoacán,,Central America,Mexico,Latin America,318
Irapuato,Guanajuato,,Central America,Mexico,Latin America,319
Zapopan,Jalisco,,Central America,Mexico,Latin America,320
Mauá,São Paulo,,South America,Brazil,Latin America,321
Qom,Qom,,South Asia,Iran,Pacific Asia,322
Denver,Colorado,80219,West of USA,United States,North America,323
Los Angeles,California,90008,West of USA,United States,North America,324
Houston,Texas,77095,US Center,United States,North America,325
Jacksonville,Florida,32216,South of  USA,United States,North America,326
Brindisi,Apulia,,Southern Europe,Italy,Europe,327
Hamburgo,Hamburgo,,Western Europe,Germany,Europe,328
The Hague,Holanda Meridional,,Western Europe,Netherlands,Europe,329
Halifax,Inglaterra,,Northern Europe,United Kingdom,Europe,330
Ratingen,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,331
Galati,Galati,,Eastern Europe,Romania,Europe,332
Lázaro Cárdenas,Michoacán,,Central America,Mexico,Latin America,333
Arnhem,Güeldres,,Western Europe,Netherlands,Europe,334
Parma,Emilia-Romaña,,Southern Europe,Italy,Europe,335
Vantaa,Uusimaa,,Northern Europe,Finland,Europe,336
Rome,Lacio,,Southern Europe,Italy,Europe,337
Vicenza,Véneto,,Southern Europe,Italy,Europe,338
Wattrelos,Norte-Paso de Calais-Picardía,,Western Europe,France,Europe,339
Yaroslavl,Yaroslavl,,Eastern Europe,Russia,Europe,340
Hastings,Inglaterra,,Northern Europe,United Kingdom,Europe,341
Sheffield,Inglaterra,,Northern Europe,United Kingdom,Europe,342
Lowestoft,Inglaterra,,Northern Europe,United Kingdom,Europe,343
Turku,Finlandia del Sudoeste,,Northern Europe,Finland,Europe,344
San Sebastian,País Vasco,,Southern Europe,Spain,Europe,345
Remscheid,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,346
Sterlitamak,Bashkortostán,,Eastern Europe,Russia,Europe,347
Exeter,Inglaterra,,Northern Europe,United Kingdom,Europe,348
Pamiers,Languedoc-Rosellón-Mediodía-Pirineos,,Western Europe,France,Europe,349
Dordrecht,Holanda Meridional,,Western Europe,Netherlands,Europe,350
Strasbourg,Alsacia-Champaña-Ardenas-Lorena,,Western Europe,France,Europe,351
Alphen aan den Rijn,Holanda Meridional,,Western Europe,Netherlands,Europe,352
Lublin,Lublin,,Eastern Europe,Poland,Europe,353
Dublín,Dublín,,Northern Europe,Ireland,Europe,354
Six-Fours-les-Plages,Provenza-Alpes-Costa Azul,,Western Europe,France,Europe,355
Rennes,Bretaña,,Western Europe,France,Europe,356
Capannori,Toscana,,Southern Europe,Italy,Europe,357
Reutlingen,Baden-Wurtemberg,,Western Europe,Germany,Europe,358
Palaiseau,Isla de Francia,,Western Europe,France,Europe,359
Redditch,Inglaterra,,Northern Europe,United Kingdom,Europe,360
Leeds,Inglaterra,,Northern Europe,United Kingdom,Europe,361
Plymouth,Inglaterra,,Northern Europe,United Kingdom,Europe,362
Barcelona,Cataluña,,Southern Europe,Spain,Europe,363
Castelldefels,Cataluña,,Southern Europe,Spain,Europe,364
Oslo,Oslo,,Northern Europe,Norway,Europe,365
Hautmont,Norte-Paso de Calais-Picardía,,Western Europe,France,Europe,366
Banska Bystrica,Banská Bystrica,,Eastern Europe,Slovakia,Europe,367
Nacka,Estocolmo,,Northern Europe,Sweden,Europe,368
West Bromwich,Inglaterra,,Northern Europe,United Kingdom,Europe,369
Milan,Lombardía,,Southern Europe,Italy,Europe,370
Basingstoke,Inglaterra,,Northern Europe,United Kingdom,Europe,371
Littlehampton,Inglaterra,,Northern Europe,United Kingdom,Europe,372
Seville,Andalucía,,Southern Europe,Spain,Europe,373
Moncalieri,Piamonte,,Southern Europe,Italy,Europe,374
Seraing,Lieja,,Western Europe,Belgium,Europe,375
Kramators'k,Donetsk,,Eastern Europe,Ukraine,Europe,376
Kiel,Schleswig-Holstein,,Western Europe,Germany,Europe,377
Sunderland,Inglaterra,,Northern Europe,United Kingdom,Europe,378
Augsburg,Bavaria,,Western Europe,Germany,Europe,379
Cognac,Aquitania-Lemosín-Poitou-Charentes,,Western Europe,France,Europe,380
Castrop-Rauxel,Renania del Norte-Westfalia,,Western Europe,Germany,Europe,381
Bytom,Silesia,,Eastern Europe,Poland,Europe,382
Durango,Durango,,Central America,Mexico,Latin America,383
Serra,Espíritu Santo,,South America,Brazil,Latin America,384
Santiago de los Caballeros,Santiago de Chile,,Caribbean,Dominican Republic,Latin America,385
San Salvador,San Salvador,,Central America,El Salvador,Latin America,386
Pinar del Río,Pinar del Río,,Caribbean,Cuba,Latin America,387
Araranguá,Santa Catarina,,South America,Brazil,Latin America,388
Juárez,Chihuahua,,Central America,Mexico,Latin America,389
Puno,Puno,,South America,Peru,Latin America,390
Navegantes,Santa Catarina,,South America,Brazil,Latin America,391
Tampico,Tamaulipas,,Central America,Mexico,Latin America,392
La Paz,La Paz,,South America,Bolivia,Latin America,393
Matagalpa,Matagalpa,,Central America,Nicaragua,Latin America,394
Cuscatancingo,San Salvador,,Central America,El Salvador,Latin America,395
Americana,São Paulo,,South America,Brazil,Latin America,396
Indaial,Santa Catarina,,South America,Brazil,Latin America,397
Tijuana,Baja California,,Central America,Mexico,Latin America,398
Ciudad del Carmen,Campeche,,Central America,Mexico,Latin America,399
Santana de Parnaíba,São Paulo,,South America,Brazil,Latin America,400
Limeira,São Paulo,,South America,Brazil,Latin America,401
Valencia,Carabobo,,South America,Venezuela,Latin America,402
Santiago de Chile,Santiago de Chile,,South America,Chile,Latin America,403
Macapá,Amapá,,South America,Brazil,Latin America,404
Portmore,Santa Caterina,,Caribbean,Jamaica,Latin America,405
Saltillo,Coahuila,,Central America,Mexico,Latin America,406
Guantánamo,Guantánamo,,Caribbean,Cuba,Latin America,407
Cartago,Valle del Cauca,,South America,Colombia,Latin America,408
Arequipa,Arequipa,,South America,Peru,Latin America,409
Atlixco,Puebla,,Central America,Mexico,Latin America,410
Rio Branco,Acre,,South America,Brazil,Latin America,411
Ayacucho,Ayacucho,,South America,Peru,Latin America,412
Vassouras,Río de Janeiro,,South America,Brazil,Latin America,413
Hyderabad,Telangana,,South Asia,India,Pacific Asia,414
Jiangyan,Jiangsu,,Eastern Asia,China,Pacific Asia,415
Christchurch,Canterbury,,Oceania,New Zealand,Pacific Asia,416
Masterton,Wellington,,Oceania,New Zealand,Pacific Asia,417
Daqing,Heilongjiang,,Eastern Asia,China,Pacific Asia,418
Albury,Nueva Gales del Sur,,Oceania,Australia,Pacific Asia,419
Valenzuela,Capital Nacional,,Southeast Asia,Philippines,Pacific Asia,420
Antipolo,Calabarzón,,Southeast Asia,Philippines,Pacific Asia,421
Borujerd,Lorestan,,South Asia,Iran,Pacific Asia,422
Izmir,Izmir,,West Asia,Turkey,Pacific Asia,423
Shulan,Jilin,,Eastern Asia,China,Pacific Asia,424
Antalya,Antalya,,West Asia,Turkey,Pacific Asia,425
Taizz,Taiz,,West Asia,Yemen,Pacific Asia,426
Yangzhou,Jiangsu,,Eastern Asia,China,Pacific Asia,427
Asahikawa,Hokkaido,,Eastern Asia,Japan,Pacific Asia,428
Valencia,Mindanao Septentrional,,Southeast Asia,Philippines,Pacific Asia,429
Khouribga,Chauía-Uardiga,,North Africa,Morocco,Africa,430
Accra,Gran Accra,,West Africa,Ghana,Africa,431
Boghni,Tizi Ouzou,,North Africa,Algeria,Africa,432
Meknes,Mequinez-Tafilalet,,North Africa,Morocco,Africa,433
Thika,Central,,East Africa,Kenya,Africa,434
Ad Diwem,Nilo Blanco,,North Africa,Sudan,Africa,435
Alexandria,Alejandría,,North Africa,Egypt,Africa,436
Kalemie,Katanga,,Central Africa,Democratic Republic of the Congo,Africa,437
